,Name,URL
0,Access Community Health Limited,"['access.org.nz', 'achn.net', 'accesscommunityhealthcenters.org', 'accesschc.org']"
1,Accessible Properties New Zealand Limited,['']
2,Accident Compensation Corporation (ACC),['']
3,Accordant Group Limited,['']
4,Adserve Limited,"['adserve.com', 'adserverplugins.com', 'adserver.online', 'adserve.com.sa', 'admedicos.com']"
5,Advanced Personnel Services Limited,['']
6,AFFCO Group Management Limited ,['']
7,AFFCO Holdings Limited,['affco.co.nz']
8,AFFCO Meat Processors Limited,['']
9,AFFCO Meats Limited,['']
10,AFFCO New Zealand Limited,['']
11,Air Nelson Limited,['']
12,Air New Zealand Associated Companies Limited,['']
13,Air New Zealand Express Limited,['']
14,Air New Zealand Limited ,"['airnewzealand.com', 'airnewzealand.co.nz', 'airnewzealand.com.au', 'airnewzealand.com.sg', 'airnewzealand.co.uk']"
15,Air New Zealand Regional Maintenance Limited,['']
16,Alliance Group Limited,"['alliance.co.nz', 'agusa.com', 'thealliancegroup.com.au', 'alliancegroupllc.com', 'alliancegroup.com.uy']"
17,Allied Bulk Limited,['']
18,Allied Concrete Limited,"['alliedconcrete.co.nz', 'alliedconcretesystems.com', 'alliedconcretecutting.com.au', 'alliedconcrete.com', 'alliedconcretecutters.co.nz']"
19,Allied Foods (N.Z.) Limited,['afe.com.my']
20,Allied Petroleum Limited,"['alliedpetroleum.co.nz', 'alliedpetroleum.com.pk']"
21,Alsco Investments NZ,['']
22,Alsco NZ,"['als.com', 'alsco.com', 'als.com.vn', 'alscorreduria.es', 'alconcrete1.com']"
23,Altus NZ Limited,"['altusshooting.com', 'altusgroup.com', 'altushost.com', 'altusintervention.com', 'altusmarketresearch.com']"
24,AML Limited,"['amlegal.com', 'amli.com', 'amleo.com', 'amlu.com', 'amle.org']"
25,Andrews Transport Limited,['andrews-transport.com']
26,Anthony Wilding Retirement Village Limited,['']
27,ANZ Bank New Zealand Limited,['anznational.co.nz']
28,ANZ New Zealand Investments Limited,['']
29,Approach Signs Limited,['approachsigns.co.nz']
30,Archibald & Shorter North Shore limited,"['archibald.bio', 'archibald-abraham.com', 'archibald.be', 'archibaldconseil.com', 'archibald-immobilier.com']"
31,Archibald & Shorter Roverland Limited ,"['archibald.bio', 'archibald-abraham.com', 'archibald.be', 'archibaldconseil.com', 'archibald-immobilier.com']"
32,Aria Bay Senior Living Limited,['']
33,Aria Gardens Limited,['']
34,Aria Park Senior Living Limited ,['']
35,Arvida Group Limited,['']
36,Arvida Limited,"['arvida.co.nz', 'primerolafamilia.com.ar', 'arvida.com.mx', 'arvidalracing.com', 'arvidandersson.se']"
37,Asaleo Care Limited,['asaleocare.com']
38,ASB Bank Limited,['asb.co.nz']
39,Ashwood Park Lifecare (2012) Limited ,['']
40,Auckland Council,"['aucklandcouncil.govt.nz', 'aucklandleisure.co.nz', 'endlesspossibilities.co.nz', 'aucklandforever.co.nz']"
41,Auckland Meat Processors Limited,['']
42,Auckland Uniservices Limited,['']
43,Auckland Vehicle Deliveries Limited,['']
44,AWF Limited,"['awfulannouncing.com', 'awfarlak.com', 'awf.org', 'awfis.com', 'awfatech.com']"
45,Bank of New Zealand,['bnz.co.nz']
46,Bert Sutcliffe Retirement Village Limited,['']
47,Best Start Educare Limited,['beststarteducare.co.nz']
48,Beststart Educare Services Limited,['']
49,Bethlehem Country Club Village Limited,['']
50,Bethlehem Shores Retirement Village Limited,['']
51,Bidfood Limited,"['bidfood.nl', 'bidfood.co.uk', 'bidfood.co.za', 'bidfood.com.tr', 'solegraells.com']"
52,Bob Owens Retirement Village Limited,['']
53,Bob Scott Retirement Village Limited,['']
54,British Vehicle Importers Limited,['']
55,Bruce McLaren Retirement Village Limited ,['']
56,Building Prefabrication Solutions Limited,['']
57,Building Supplies Distribution Limited,['']
58,Bunnings Limited,"['bunnings.com.au', 'bunnings.co.nz', 'colonnades.com.au', 'bunnings.com']"
59,Bupa Care Services NZ Limited,['']
60,C-Dax Limited,"['cdax.im', 'cdax.ch', 'cdax.io', 'cdaxforex.com', 'cdax.ca']"
61,Canpac International Limited,['']
62,Car Haulaways Limited,['']
63,Carter Holt Harvey Building Products Limited,['']
64,Carter Holt Harvey LVL Limited ,['']
65,Carter Holt Harvey Plywood Limited,['']
66,Carters Building Supplies Limited ,['carters.co.nz']
67,Castle Parcels Limited,['castleparcels.co.nz']
68,Charles Fleming Retirement Village Limited,['']
69,Charles Upham Retirement Village Limited,['']
70,Choices New Zealand Limited,['']
71,Christchurch City Council,['ccc.govt.nz']
72,Chubb New Zealand,['']
73,City Care Limited ,"['citycare.com.tw', 'citycareokc.org', 'citycare.dk', 'citycare-itn.eu', 'citycareinc.org']"
74,Cityline (NZ) Limited,"['cityline.com', 'cityline.tv', 'citylinecycles.net', 'citylineusa.com', 'citylinekidsmusic.com']"
75,Cleaver Building Supplies Limited,['']
76,Clever Core New Zealand Limited,['']
77,CMP Canterbury Limited,['']
78,CMP Kokiri Limited,['']
79,CMP Marlborough Limited,['']
80,CMP Rakaia Limited,['']
81,CMP Rangitikei Limited,['']
82,Compass Group New Zealand Limited,['']
83,Copper Crest Living Well Limited,['']
84,Daily Freight (1994) Limited,"['dailyfreight.co.nz', 'dailyfreight.com']"
85,Datacom Connect Limited,"['datacomconnect.com', 'datacomconnections.com']"
86,Datacom Data Centres Limited,['']
87,Datacom Group Limited,['datacom.mn']
88,Datacom Holdings Limited,['']
89,Datacom New Zealand Limited,['']
90,Datacom Solutions Limited,"['datacomusa.net', 'datacomsolutions.com', 'datacomsolutions.ca', '4datacom.net']"
91,Datacom Systems Limited,"['datacomsystems.com', 'datacomcolumbia.com']"
92,Datam Limited,"['dataminr.com', 'datamyne.com', 'dataminer.io', 'datamaxx.com', 'datamerch.com']"
93,DEKRA New Zealand Limited,['']
94,Department of Conservation,['doc.govt.nz']
95,Department of Corrections,['corrections.govt.nz']
96,Dialog Fitzroy Limited,['dialogfitzroy.com']
97,Diana Isaac Retirement Village Limited,['']
98,Downer Construction (New Zealand) Limited,['']
99,Downer New Zealand Limited,['']
100,Downer Utilities New Zealand Limited,['']
101,EastPack Limited,"['eastpack.co.nz', 'eastpack-eg.com', 'eastpackers.nl']"
102,EastPack RSE Services Limited,['']
103,Edmund Hillary Retirement Village Limited,['']
104,Electrix Limited,"['lvelectrix.co.uk', 'electrixwest.com', 'electrixpro.com', 'electrixnortheastltd.co.uk', 'electrixservices.co.uk']"
105,Enterprise Recruitment AK Limited,['']
106,Enterprise Recruitment AK South Limited,['']
107,Enterprise Recruitment Chch Limited,['']
108,Enterprise Recruitment Health Limited,['']
109,Enterprise Recruitment Limited,"['enterprise.co.nz', 'enterpriserecruitment.com']"
110,Enterprise Recruitment Wgtn Limited,['']
111,Ernest Rutherford Retirement Village Limited,['']
112,Espana Motors Limited,['espanamotors.ie']
113,Essie Summers Retirement Village Limited,['']
114,Essity Australasia Limited,['asaleocare.com']
115,European Motor Distributors Limited,['']
116,Evelyn Page Retirement Village Limited,['']
117,Explore Services Limited,['']
118,Farmers Transport (2020) Limited,['farmerstransport.co.nz']
119,Fernhill Lime Works Limited,['']
120,Fire & Emergency New Zealand,"['firestonecompleteautocare.com', 'fire.nsw.gov.au', 'firehousesubs.com', 'firemountaingems.com', 'getfireshot.com']"
121,Fletcher Building Holdings Limited,['']
122,Fletcher Building Products Limited,['']
123,Fletcher Concrete and Infrastructure Limited,['']
124,Fletcher Construction Management Services Limited,['']
125,Fletcher Development Limited,"['fletcherdevelopmentllc.com', 'fletcherdevelopmentsinc.com']"
126,Fletcher Distribution Limited,['']
127,Fletcher Property Limited,"['fletcherpg.com.au', 'fletcherpropertyinspections.com']"
128,Fletcher Residential Limited,['']
129,Fletcher Steel Limited,"['fletcherreinforcing.co.nz', 'fletchersteel.co.nz']"
130,Fonterra Brands (New Zealand) Limited,['']
131,Fonterra Cooperative Group Limited,['']
132,Fonterra Limited,"['fonterra.com', 'fonterra.co', 'scamfreezone.org', 'fonterra.com.br', 'fonterra.net']"
133,Foodstuffs (South Island) Properties Limited,['']
134,Foodstuffs North Island Limited,['optimiseit.co.nz']
135,Foodstuffs South Island Limited,['']
136,Frances Hodgkins Retirement Village Limited,['']
137,Freight Haulage Limited,['freighthaulage.co.nz']
138,Freightways Express Limited,['']
139,Freightways Information Services Limited,['']
140,Fsni Transport Limited,['']
141,Fulton Hogan Limited,['fultonhogan.com']
142,General Distributors Limited,['']
